entropy,auroc,snr,lr_type,bn,activation,method,trial,path,kmer_length,index
1.299,0.9792697429656982,0.88800657,fixedlr,nobn,relu,manifold-mixup,4,/fixedlr/nobn/relu/manifold-mixup/saliency/4,6,200
0.108,0.9740097522735596,1.2412671020919002,fixedlr,bn,exponential,manifold-gn,12,/fixedlr/bn/exponential/manifold-gn/saliency/12,6,201
0.554,0.9750376343727112,0.3571798,fixedlr,nobn,relu,manifold-mixup,5,/fixedlr/nobn/relu/manifold-mixup/saliency/5,6,202
0.487,0.9764841198921204,0.39886212,fixedlr,nobn,relu,manifold-mixup,6,/fixedlr/nobn/relu/manifold-mixup/saliency/6,6,203
0.498,0.9747472405433656,0.3790376,fixedlr,nobn,relu,manifold-mixup,7,/fixedlr/nobn/relu/manifold-mixup/saliency/7,6,204
0.544,0.9758628606796264,0.34274587,fixedlr,nobn,relu,manifold-mixup,8,/fixedlr/nobn/relu/manifold-mixup/saliency/8,6,205
0.507,0.9766544699668884,0.3328205,fixedlr,nobn,relu,manifold-mixup,9,/fixedlr/nobn/relu/manifold-mixup/saliency/9,6,206
1.357,0.977419137954712,1.1865103,fixedlr,nobn,relu,mixup,0,/fixedlr/nobn/relu/mixup/saliency/0,6,207
1.375,0.9719732999801636,1.2356101,fixedlr,nobn,relu,mixup,1,/fixedlr/nobn/relu/mixup/saliency/1,6,208
0.109,0.9711374640464784,0.4859550737265735,fixedlr,nobn,relu,mixup,10,/fixedlr/nobn/relu/mixup/saliency/10,6,209
0.113,0.9750686287879944,0.5245570117244086,fixedlr,nobn,relu,mixup,11,/fixedlr/nobn/relu/mixup/saliency/11,6,210
0.112,0.9752065539360046,0.6088244656500116,fixedlr,nobn,relu,mixup,12,/fixedlr/nobn/relu/mixup/saliency/12,6,211
0.117,0.9731894731521606,1.123816761481328,fixedlr,bn,exponential,manifold-gn,13,/fixedlr/bn/exponential/manifold-gn/saliency/13,6,212
0.113,0.975425899028778,0.5062327464905925,fixedlr,nobn,relu,mixup,13,/fixedlr/nobn/relu/mixup/saliency/13,6,213
0.128,0.9759554266929626,0.4894141099576999,fixedlr,nobn,relu,mixup,14,/fixedlr/nobn/relu/mixup/saliency/14,6,214
1.322,0.9784926772117616,1.3018559,fixedlr,nobn,relu,mixup,2,/fixedlr/nobn/relu/mixup/saliency/2,6,215
1.045,0.9788157939910888,0.848819,fixedlr,nobn,relu,mixup,3,/fixedlr/nobn/relu/mixup/saliency/3,6,216
1.403,0.9773223400115968,1.3558347,fixedlr,nobn,relu,mixup,4,/fixedlr/nobn/relu/mixup/saliency/4,6,217
0.124,0.97478985786438,0.495206686071862,fixedlr,nobn,relu,mixup,5,/fixedlr/nobn/relu/mixup/saliency/5,6,218
0.114,0.9735692143440248,0.5971360495641678,fixedlr,nobn,relu,mixup,6,/fixedlr/nobn/relu/mixup/saliency/6,6,219
0.124,0.9741626977920532,0.5627271289049457,fixedlr,nobn,relu,mixup,7,/fixedlr/nobn/relu/mixup/saliency/7,6,220
0.119,0.9761804342269896,0.4689376145415575,fixedlr,nobn,relu,mixup,8,/fixedlr/nobn/relu/mixup/saliency/8,6,221
0.108,0.9750549793243408,0.5615789850102652,fixedlr,nobn,relu,mixup,9,/fixedlr/nobn/relu/mixup/saliency/9,6,222
0.112,0.9758661389350892,1.4023050907639083,fixedlr,bn,exponential,adversarial,12,/fixedlr/bn/exponential/adversarial/saliency/12,6,223
0.102,0.977485716342926,1.4624568862134142,fixedlr,bn,exponential,manifold-gn,14,/fixedlr/bn/exponential/manifold-gn/saliency/14,6,224
1.544,0.977581262588501,2.079366,fixedlr,nobn,relu,sn,0,/fixedlr/nobn/relu/sn/saliency/0,6,225
1.612,0.9825355410575868,2.2410784,fixedlr,nobn,relu,sn,1,/fixedlr/nobn/relu/sn/saliency/1,6,226
1.293,0.9829679131507874,1.3801267,fixedlr,nobn,relu,sn,10,/fixedlr/nobn/relu/sn/saliency/10,6,227
1.141,0.983177125453949,1.1529006,fixedlr,nobn,relu,sn,11,/fixedlr/nobn/relu/sn/saliency/11,6,228
1.196,0.9831099510192872,1.2887398,fixedlr,nobn,relu,sn,12,/fixedlr/nobn/relu/sn/saliency/12,6,229
1.277,0.9846987128257751,1.4194095,fixedlr,nobn,relu,sn,13,/fixedlr/nobn/relu/sn/saliency/13,6,230
1.265,0.984438419342041,1.2621853,fixedlr,nobn,relu,sn,14,/fixedlr/nobn/relu/sn/saliency/14,6,231
1.674,0.9827835559844972,2.1447525,fixedlr,nobn,relu,sn,2,/fixedlr/nobn/relu/sn/saliency/2,6,232
1.435,0.97867089509964,2.1666427,fixedlr,nobn,relu,sn,3,/fixedlr/nobn/relu/sn/saliency/3,6,233
1.431,0.9779989719390868,1.7880726,fixedlr,nobn,relu,sn,4,/fixedlr/nobn/relu/sn/saliency/4,6,234
1.503,0.9757773876190186,5.2974615,fixedlr,bn,exponential,manifold-gn,2,/fixedlr/bn/exponential/manifold-gn/saliency/2,6,235
1.327,0.9841825366020204,1.3784893,fixedlr,nobn,relu,sn,5,/fixedlr/nobn/relu/sn/saliency/5,6,236
1.183,0.984730064868927,1.2425808,fixedlr,nobn,relu,sn,6,/fixedlr/nobn/relu/sn/saliency/6,6,237
1.337,0.9841095209121704,1.4831389,fixedlr,nobn,relu,sn,7,/fixedlr/nobn/relu/sn/saliency/7,6,238
1.16,0.9829956889152528,1.1855069,fixedlr,nobn,relu,sn,8,/fixedlr/nobn/relu/sn/saliency/8,6,239
1.246,0.9832664728164672,1.332249,fixedlr,nobn,relu,sn,9,/fixedlr/nobn/relu/sn/saliency/9,6,240
1.265,0.9804449081420898,1.0662241,fixedlr,nobn,relu,standard,0,/fixedlr/nobn/relu/standard/saliency/0,6,241
1.392,0.9766627550125122,1.3404018,fixedlr,nobn,relu,standard,1,/fixedlr/nobn/relu/standard/saliency/1,6,242
0.117,0.9724652171134948,0.514515445305247,fixedlr,nobn,relu,standard,11,/fixedlr/nobn/relu/standard/saliency/11,6,243
0.134,0.9710731506347656,0.4923132329629344,fixedlr,nobn,relu,standard,12,/fixedlr/nobn/relu/standard/saliency/12,6,244
0.125,0.9710242748260498,0.4168928388848736,fixedlr,nobn,relu,standard,14,/fixedlr/nobn/relu/standard/saliency/14,6,245
1.539,0.9760242700576782,6.6531553,fixedlr,bn,exponential,manifold-gn,3,/fixedlr/bn/exponential/manifold-gn/saliency/3,6,246
1.531,0.9771944880485536,1.235337,fixedlr,nobn,relu,standard,2,/fixedlr/nobn/relu/standard/saliency/2,6,247
1.271,0.979073405265808,1.1522431,fixedlr,nobn,relu,standard,3,/fixedlr/nobn/relu/standard/saliency/3,6,248
1.409,0.9717740416526794,1.220605,fixedlr,nobn,relu,standard,4,/fixedlr/nobn/relu/standard/saliency/4,6,249
0.12,0.9716296195983888,0.4825621030927698,fixedlr,nobn,relu,standard,5,/fixedlr/nobn/relu/standard/saliency/5,6,250
0.12,0.9753532409667968,0.5086304184292438,fixedlr,nobn,relu,standard,6,/fixedlr/nobn/relu/standard/saliency/6,6,251
0.131,0.972183883190155,0.4070465354545171,fixedlr,nobn,relu,standard,8,/fixedlr/nobn/relu/standard/saliency/8,6,252
0.123,0.9735211730003356,0.5631505627315022,fixedlr,nobn,relu,standard,9,/fixedlr/nobn/relu/standard/saliency/9,6,253
1.531,0.9770838022232056,5.0768948,fixedlr,bn,exponential,manifold-gn,4,/fixedlr/bn/exponential/manifold-gn/saliency/4,6,254
0.105,0.9756815433502196,1.4484828595626218,fixedlr,bn,exponential,manifold-gn,6,/fixedlr/bn/exponential/manifold-gn/saliency/6,6,255
0.159,0.973422110080719,1.175447644822868,fixedlr,bn,exponential,manifold-gn,7,/fixedlr/bn/exponential/manifold-gn/saliency/7,6,256
0.106,0.9805867075920104,1.2483009330717598,fixedlr,bn,exponential,manifold-gn,8,/fixedlr/bn/exponential/manifold-gn/saliency/8,6,257
1.306,0.9859464764595032,2.4797583,fixedlr,bn,exponential,manifold-mixup,0,/fixedlr/bn/exponential/manifold-mixup/saliency/0,6,258
1.362,0.9851754903793336,3.9987955,fixedlr,bn,exponential,manifold-mixup,1,/fixedlr/bn/exponential/manifold-mixup/saliency/1,6,259
1.108,0.9830325841903688,1.4181416,fixedlr,bn,exponential,manifold-mixup,10,/fixedlr/bn/exponential/manifold-mixup/saliency/10,6,260
0.11,0.9776400327682496,1.3758588152052311,fixedlr,bn,exponential,adversarial,13,/fixedlr/bn/exponential/adversarial/saliency/13,6,261
1.029,0.9777823686599731,1.0208348,fixedlr,bn,exponential,manifold-mixup,11,/fixedlr/bn/exponential/manifold-mixup/saliency/11,6,262
1.154,0.9840046167373656,1.6058377,fixedlr,bn,exponential,manifold-mixup,12,/fixedlr/bn/exponential/manifold-mixup/saliency/12,6,263
1.067,0.9756166338920592,0.9646099,fixedlr,bn,exponential,manifold-mixup,13,/fixedlr/bn/exponential/manifold-mixup/saliency/13,6,264
1.024,0.9803537130355836,0.81873244,fixedlr,bn,exponential,manifold-mixup,14,/fixedlr/bn/exponential/manifold-mixup/saliency/14,6,265
1.412,0.9866596460342408,4.1425314,fixedlr,bn,exponential,manifold-mixup,2,/fixedlr/bn/exponential/manifold-mixup/saliency/2,6,266
1.58,0.9814854264259338,3.8837812,fixedlr,bn,exponential,manifold-mixup,3,/fixedlr/bn/exponential/manifold-mixup/saliency/3,6,267
1.469,0.9852380752563475,3.776148,fixedlr,bn,exponential,manifold-mixup,4,/fixedlr/bn/exponential/manifold-mixup/saliency/4,6,268
1.058,0.982546091079712,0.97508734,fixedlr,bn,exponential,manifold-mixup,5,/fixedlr/bn/exponential/manifold-mixup/saliency/5,6,269
1.101,0.9824640154838562,1.0781714,fixedlr,bn,exponential,manifold-mixup,6,/fixedlr/bn/exponential/manifold-mixup/saliency/6,6,270
1.124,0.9805511236190796,1.1959187,fixedlr,bn,exponential,manifold-mixup,8,/fixedlr/bn/exponential/manifold-mixup/saliency/8,6,271
0.109,0.975860059261322,1.3777630905513247,fixedlr,bn,exponential,adversarial,3,/fixedlr/bn/exponential/adversarial/saliency/3,6,272
1.22,0.980450451374054,1.4385735,fixedlr,bn,exponential,manifold-mixup,9,/fixedlr/bn/exponential/manifold-mixup/saliency/9,6,273
1.533,0.9747920632362366,5.790384,fixedlr,bn,exponential,mixup,0,/fixedlr/bn/exponential/mixup/saliency/0,6,274
1.46,0.9767071008682252,3.8131146,fixedlr,bn,exponential,mixup,1,/fixedlr/bn/exponential/mixup/saliency/1,6,275
0.102,0.9761342406272888,1.642982165509476,fixedlr,bn,exponential,mixup,12,/fixedlr/bn/exponential/mixup/saliency/12,6,276
0.109,0.9767176508903505,1.5067655254577994,fixedlr,bn,exponential,mixup,13,/fixedlr/bn/exponential/mixup/saliency/13,6,277
0.114,0.9763363599777222,1.6430459918188465,fixedlr,bn,exponential,mixup,14,/fixedlr/bn/exponential/mixup/saliency/14,6,278
1.527,0.9775580167770386,5.207575,fixedlr,bn,exponential,mixup,2,/fixedlr/bn/exponential/mixup/saliency/2,6,279
1.287,0.9746861457824708,2.1397443,fixedlr,bn,exponential,mixup,4,/fixedlr/bn/exponential/mixup/saliency/4,6,280
0.098,0.9764079451560974,1.51585389947476,fixedlr,bn,exponential,mixup,5,/fixedlr/bn/exponential/mixup/saliency/5,6,281
0.106,0.9780951738357544,1.5963304552861788,fixedlr,bn,exponential,mixup,6,/fixedlr/bn/exponential/mixup/saliency/6,6,282
0.116,0.9707099199295044,1.3651908775269337,fixedlr,bn,exponential,adversarial,6,/fixedlr/bn/exponential/adversarial/saliency/6,6,283
0.106,0.9756803512573242,1.6568224402646932,fixedlr,bn,exponential,mixup,7,/fixedlr/bn/exponential/mixup/saliency/7,6,284
0.104,0.976308524608612,1.5662167239265732,fixedlr,bn,exponential,mixup,8,/fixedlr/bn/exponential/mixup/saliency/8,6,285
0.116,0.9755492210388184,1.4142997463717095,fixedlr,bn,exponential,mixup,9,/fixedlr/bn/exponential/mixup/saliency/9,6,286
1.441,0.9767261743545532,2.91883,fixedlr,bn,exponential,sn,0,/fixedlr/bn/exponential/sn/saliency/0,6,287
1.023,0.9807170629501344,1.2465818,fixedlr,bn,exponential,sn,10,/fixedlr/bn/exponential/sn/saliency/10,6,288
1.117,0.9780558347702026,1.3330865,fixedlr,bn,exponential,sn,11,/fixedlr/bn/exponential/sn/saliency/11,6,289
0.793,0.9790215492248536,1.4422528715379868,fixedlr,bn,exponential,sn,12,/fixedlr/bn/exponential/sn/saliency/12,6,290
1.55,0.973139762878418,2.9651206,fixedlr,bn,exponential,sn,2,/fixedlr/bn/exponential/sn/saliency/2,6,291
1.55,0.9778279066085817,3.6720383,fixedlr,bn,exponential,sn,3,/fixedlr/bn/exponential/sn/saliency/3,6,292
1.362,0.9776101112365724,2.8304813,fixedlr,bn,exponential,sn,4,/fixedlr/bn/exponential/sn/saliency/4,6,293
0.1,0.9742467999458312,1.4042473001346347,fixedlr,bn,exponential,adversarial,7,/fixedlr/bn/exponential/adversarial/saliency/7,6,294
1.173,0.9824588894844056,1.5780612,fixedlr,bn,exponential,sn,6,/fixedlr/bn/exponential/sn/saliency/6,6,295
1.243,0.9783175587654114,1.4594516,fixedlr,bn,exponential,sn,7,/fixedlr/bn/exponential/sn/saliency/7,6,296
1.237,0.9739456176757812,1.4774184,fixedlr,bn,exponential,sn,8,/fixedlr/bn/exponential/sn/saliency/8,6,297
1.243,0.9784289002418518,1.502941,fixedlr,bn,exponential,sn,9,/fixedlr/bn/exponential/sn/saliency/9,6,298
1.291,0.9756196737289428,2.2170906,fixedlr,bn,exponential,standard,0,/fixedlr/bn/exponential/standard/saliency/0,6,299
1.56,0.9727248549461364,4.9535913,fixedlr,bn,exponential,standard,1,/fixedlr/bn/exponential/standard/saliency/1,6,300
0.103,0.97165447473526,1.3169736701884762,fixedlr,bn,exponential,standard,12,/fixedlr/bn/exponential/standard/saliency/12,6,301
1.56,0.9785953164100648,4.3794613,fixedlr,bn,exponential,standard,2,/fixedlr/bn/exponential/standard/saliency/2,6,302
0.433,0.9708051085472108,0.0271266944561702,fixedlr,bn,exponential,standard,3,/fixedlr/bn/exponential/standard/saliency/3,6,303
1.582,0.9753695726394652,4.737936,fixedlr,bn,exponential,standard,4,/fixedlr/bn/exponential/standard/saliency/4,6,304
0.124,0.976103901863098,1.359325892928821,fixedlr,bn,exponential,adversarial,8,/fixedlr/bn/exponential/adversarial/saliency/8,6,305
0.115,0.9777470231056212,1.5013651003054598,fixedlr,bn,exponential,standard,5,/fixedlr/bn/exponential/standard/saliency/5,6,306
0.112,0.9724711775779724,1.4803092920068568,fixedlr,bn,exponential,standard,6,/fixedlr/bn/exponential/standard/saliency/6,6,307
0.114,0.9714033603668212,1.395529429199883,fixedlr,bn,exponential,standard,9,/fixedlr/bn/exponential/standard/saliency/9,6,308
1.122,0.976243019104004,2.1588128,fixedlr,bn,relu,gn,0,/fixedlr/bn/relu/gn/saliency/0,6,309
1.072,0.9792245626449584,1.6890113,fixedlr,bn,relu,gn,1,/fixedlr/bn/relu/gn/saliency/1,6,310
0.775,0.9761529564857484,0.48321208,fixedlr,bn,relu,gn,10,/fixedlr/bn/relu/gn/saliency/10,6,311
0.166,0.97694593667984,0.5543354308729037,fixedlr,bn,relu,gn,11,/fixedlr/bn/relu/gn/saliency/11,6,312
0.251,0.979168713092804,0.4535440350596312,fixedlr,bn,relu,gn,12,/fixedlr/bn/relu/gn/saliency/12,6,313
0.177,0.978062868118286,0.5001771906592067,fixedlr,bn,relu,gn,13,/fixedlr/bn/relu/gn/saliency/13,6,314
0.234,0.977240264415741,0.4304059652662719,fixedlr,bn,relu,gn,14,/fixedlr/bn/relu/gn/saliency/14,6,315
0.109,0.971332311630249,1.652773411776556,fixedlr,bn,exponential,adversarial,9,/fixedlr/bn/exponential/adversarial/saliency/9,6,316
1.031,0.9811840057373048,1.6727552,fixedlr,bn,relu,gn,2,/fixedlr/bn/relu/gn/saliency/2,6,317
1.036,0.9799892902374268,0.9050715,fixedlr,bn,relu,gn,3,/fixedlr/bn/relu/gn/saliency/3,6,318
1.14,0.9753495454788208,2.012456,fixedlr,bn,relu,gn,4,/fixedlr/bn/relu/gn/saliency/4,6,319
0.839,0.9764832258224488,0.5397676,fixedlr,bn,relu,gn,5,/fixedlr/bn/relu/gn/saliency/5,6,320
0.131,0.9759528040885924,0.4571332215243763,fixedlr,bn,relu,gn,6,/fixedlr/bn/relu/gn/saliency/6,6,321
0.766,0.9741849899291992,0.5359866,fixedlr,bn,relu,gn,7,/fixedlr/bn/relu/gn/saliency/7,6,322
0.471,0.9752165675163268,0.3972607922467016,fixedlr,bn,relu,gn,8,/fixedlr/bn/relu/gn/saliency/8,6,323
0.511,0.9766076803207396,0.4712433432485252,fixedlr,bn,relu,gn,9,/fixedlr/bn/relu/gn/saliency/9,6,324
1.061,0.9765664935112,1.7552128,fixedlr,bn,relu,manifold-gn,0,/fixedlr/bn/relu/manifold-gn/saliency/0,6,325
1.085,0.9839959144592284,0.9223807,fixedlr,bn,relu,manifold-gn,1,/fixedlr/bn/relu/manifold-gn/saliency/1,6,326
